cycle,a,b,op,y,carry,zero
0,0,255,0,255,0,0
1,1,254,1,65283,0,0
2,2,253,2,0,0,1
3,3,252,3,255,0,0
4,4,251,4,255,0,0
5,5,250,5,65530,0,0
6,6,249,6,12,0,0
7,7,248,7,3,0,0
8,8,247,0,255,0,0
9,9,246,1,65299,0,0
10,10,245,2,0,0,1
11,11,244,3,255,0,0
12,12,243,4,255,0,0
13,13,242,5,65522,0,0
14,14,241,6,28,0,0
15,15,240,7,7,0,0
16,16,239,0,255,0,0
17,17,238,1,65315,0,0
18,18,237,2,0,0,1
19,19,236,3,255,0,0
20,20,235,4,255,0,0
21,21,234,5,65514,0,0
22,22,233,6,44,0,0
23,23,232,7,11,0,0
24,24,231,0,255,0,0
25,25,230,1,65331,0,0
26,26,229,2,0,0,1
27,27,228,3,255,0,0
28,28,227,4,255,0,0
29,29,226,5,65506,0,0
30,30,225,6,60,0,0
31,31,224,7,15,0,0
32,32,223,0,255,0,0
33,33,222,1,65347,0,0
34,34,221,2,0,0,1
35,35,220,3,255,0,0
36,36,219,4,255,0,0
37,37,218,5,65498,0,0
38,38,217,6,76,0,0
39,39,216,7,19,0,0
40,40,215,0,255,0,0
41,41,214,1,65363,0,0
42,42,213,2,0,0,1
43,43,212,3,255,0,0
44,44,211,4,255,0,0
45,45,210,5,65490,0,0
46,46,209,6,92,0,0
47,47,208,7,23,0,0
48,48,207,0,255,0,0
49,49,206,1,65379,0,0
50,50,205,2,0,0,1
51,51,204,3,255,0,0
52,52,203,4,255,0,0
53,53,202,5,65482,0,0
54,54,201,6,108,0,0
55,55,200,7,27,0,0
56,56,199,0,255,0,0
57,57,198,1,65395,0,0
58,58,197,2,0,0,1
59,59,196,3,255,0,0
60,60,195,4,255,0,0
61,61,194,5,65474,0,0
62,62,193,6,124,0,0
63,63,192,7,31,0,0
64,64,191,0,255,0,0
65,65,190,1,65411,0,0
66,66,189,2,0,0,1
67,67,188,3,255,0,0
68,68,187,4,255,0,0
69,69,186,5,65466,0,0
70,70,185,6,140,0,0
71,71,184,7,35,0,0
72,72,183,0,255,0,0
73,73,182,1,65427,0,0
74,74,181,2,0,0,1
75,75,180,3,255,0,0
76,76,179,4,255,0,0
77,77,178,5,65458,0,0
78,78,177,6,156,0,0
79,79,176,7,39,0,0
80,80,175,0,255,0,0
81,81,174,1,65443,0,0
82,82,173,2,0,0,1
83,83,172,3,255,0,0
84,84,171,4,255,0,0
85,85,170,5,65450,0,0
86,86,169,6,172,0,0
87,87,168,7,43,0,0
88,88,167,0,255,0,0
89,89,166,1,65459,0,0
90,90,165,2,0,0,1
91,91,164,3,255,0,0
92,92,163,4,255,0,0
93,93,162,5,65442,0,0
94,94,161,6,188,0,0
95,95,160,7,47,0,0
96,96,159,0,255,0,0
97,97,158,1,65475,0,0
98,98,157,2,0,0,1
99,99,156,3,255,0,0
100,100,155,4,255,0,0
101,101,154,5,65434,0,0
102,102,153,6,204,0,0
103,103,152,7,51,0,0
104,104,151,0,255,0,0
105,105,150,1,65491,0,0
106,106,149,2,0,0,1
107,107,148,3,255,0,0
108,108,147,4,255,0,0
109,109,146,5,65426,0,0
110,110,145,6,220,0,0
111,111,144,7,55,0,0
112,112,143,0,255,0,0
113,113,142,1,65507,0,0
114,114,141,2,0,0,1
115,115,140,3,255,0,0
116,116,139,4,255,0,0
117,117,138,5,65418,0,0
118,118,137,6,236,0,0
119,119,136,7,59,0,0
120,120,135,0,255,0,0
121,121,134,1,65523,0,0
122,122,133,2,0,0,1
123,123,132,3,255,0,0
124,124,131,4,255,0,0
125,125,130,5,65410,0,0
126,126,129,6,252,0,0
127,127,128,7,63,0,0
128,128,127,0,255,0,0
129,129,126,1,3,1,0
130,130,125,2,0,0,1
131,131,124,3,255,0,0
132,132,123,4,255,0,0
133,133,122,5,65402,0,0
134,134,121,6,268,0,0
135,135,120,7,67,0,0
136,136,119,0,255,0,0
137,137,118,1,19,1,0
138,138,117,2,0,0,1
139,139,116,3,255,0,0
140,140,115,4,255,0,0
141,141,114,5,65394,0,0
142,142,113,6,284,0,0
143,143,112,7,71,0,0
144,144,111,0,255,0,0
145,145,110,1,35,1,0
146,146,109,2,0,0,1
147,147,108,3,255,0,0
148,148,107,4,255,0,0
149,149,106,5,65386,0,0
150,150,105,6,300,0,0
151,151,104,7,75,0,0
152,152,103,0,255,0,0
153,153,102,1,51,1,0
154,154,101,2,0,0,1
155,155,100,3,255,0,0
156,156,99,4,255,0,0
157,157,98,5,65378,0,0
158,158,97,6,316,0,0
159,159,96,7,79,0,0
160,160,95,0,255,0,0
161,161,94,1,67,1,0
162,162,93,2,0,0,1
163,163,92,3,255,0,0
164,164,91,4,255,0,0
165,165,90,5,65370,0,0
166,166,89,6,332,0,0
167,167,88,7,83,0,0
168,168,87,0,255,0,0
169,169,86,1,83,1,0
170,170,85,2,0,0,1
171,171,84,3,255,0,0
172,172,83,4,255,0,0
173,173,82,5,65362,0,0
174,174,81,6,348,0,0
175,175,80,7,87,0,0
176,176,79,0,255,0,0
177,177,78,1,99,1,0
178,178,77,2,0,0,1
179,179,76,3,255,0,0
180,180,75,4,255,0,0
181,181,74,5,65354,0,0
182,182,73,6,364,0,0
183,183,72,7,91,0,0
184,184,71,0,255,0,0
185,185,70,1,115,1,0
186,186,69,2,0,0,1
187,187,68,3,255,0,0
188,188,67,4,255,0,0
189,189,66,5,65346,0,0
190,190,65,6,380,0,0
191,191,64,7,95,0,0
192,192,63,0,255,0,0
193,193,62,1,131,1,0
194,194,61,2,0,0,1
195,195,60,3,255,0,0
196,196,59,4,255,0,0
197,197,58,5,65338,0,0
198,198,57,6,396,0,0
199,199,56,7,99,0,0
200,200,55,0,255,0,0
201,201,54,1,147,1,0
202,202,53,2,0,0,1
203,203,52,3,255,0,0
204,204,51,4,255,0,0
205,205,50,5,65330,0,0
206,206,49,6,412,0,0
207,207,48,7,103,0,0
208,208,47,0,255,0,0
209,209,46,1,163,1,0
210,210,45,2,0,0,1
211,211,44,3,255,0,0
212,212,43,4,255,0,0
213,213,42,5,65322,0,0
214,214,41,6,428,0,0
215,215,40,7,107,0,0
216,216,39,0,255,0,0
217,217,38,1,179,1,0
218,218,37,2,0,0,1
219,219,36,3,255,0,0
220,220,35,4,255,0,0
221,221,34,5,65314,0,0
222,222,33,6,444,0,0
223,223,32,7,111,0,0
224,224,31,0,255,0,0
225,225,30,1,195,1,0
226,226,29,2,0,0,1
227,227,28,3,255,0,0
228,228,27,4,255,0,0
229,229,26,5,65306,0,0
230,230,25,6,460,0,0
231,231,24,7,115,0,0
232,232,23,0,255,0,0
233,233,22,1,211,1,0
234,234,21,2,0,0,1
235,235,20,3,255,0,0
236,236,19,4,255,0,0
237,237,18,5,65298,0,0
238,238,17,6,476,0,0
239,239,16,7,119,0,0
240,240,15,0,255,0,0
241,241,14,1,227,1,0
242,242,13,2,0,0,1
243,243,12,3,255,0,0
244,244,11,4,255,0,0
245,245,10,5,65290,0,0
246,246,9,6,492,0,0
247,247,8,7,123,0,0
248,248,7,0,255,0,0
249,249,6,1,243,1,0
250,250,5,2,0,0,1
251,251,4,3,255,0,0
252,252,3,4,255,0,0
253,253,2,5,65282,0,0
254,254,1,6,508,0,0
255,255,0,7,127,0,0
